"time_index","RS40003","RS40004","RS40005","RS40007","RS40008","RS40009","RS40010","RS40011","RS40012","RS40013","RS40014","RS40015","RS40016","RS40017","RS40018","Alarm"
1,-0.580060457420292,-1.04030365619141,-0.164852547794346,-0.433833658951026,-0.124228968091781,1.41607141999414,0.0731029116303769,-0.202896135599891,0.038360369434102,-0.212872062074188,1.28053599641697,-0.616596590130342,-0.0933601934489241,1.09582106771733,1.426173866796,"0:2"
2,-0.648630314146635,-1.05957609148578,-0.050208325594127,0.17427569474919,-0.0848572157030655,0.874231991750448,0.206554184937239,-0.138385237208639,0.604047117148951,-0.212872062074188,0.959857314259086,-0.431733806147992,0.00827117555256375,0.653527415798151,0.291996389789249,"0:2"
3,-0.691610850264199,-1.07481280967198,-0.108906621427398,0.959496452963536,-0.101670870148285,0.453186039088977,0.139828548283808,-0.161751864459404,-0.331994380090495,-0.522937325835343,0.569634327557116,-0.431733806147992,-0.0231444713038842,0.386965689041305,0.0802664266352394,"0:2"
4,-0.717573576432375,-0.966090461647796,-0.0460605999341488,-1.29401547195448,-0.0848572157030655,-0.0676358741472348,0.0214789829514721,-0.202896135599891,-0.184386811647287,0.459640498749989,0.358130289437455,-0.202357544233651,-0.0231444713038842,0.11892125683042,-0.230811885560462,"0:2"
5,-0.611358792280982,-1.09121240620419,-0.197969067359746,-0.615514759972291,-0.141042622537001,-0.226165546578243,0.158988508036789,-0.17497720313479,-0.0072341676432071,-0.004889763982249,0.0902546459628885,-0.845972852044682,-0.0231444713038842,-0.110703372370758,-0.406671164866296,"0:2"
6,-0.633504995226508,-1.02723226124259,-0.050208325594127,-0.036568248596918,-0.11847148394582,-0.450549841603752,0.184183774340223,-0.138385237208639,0.038360369434102,-0.938901922019222,-0.0720265526906912,-0.616596590130342,-0.0933601934489241,0.0783715360260863,-0.693387795892041,"0:2"
7,-0.626484111201108,-0.954100200546862,-0.199280972335476,-1.05300494683165,-0.203818193885347,-0.623993006579661,0.179979231095935,-0.198343830385556,0.54450169946843,-0.004889763982249,-0.187369379280176,-0.414394698554328,-0.0933601934489241,0.119952555528545,-0.526586124588684,"0:2"
8,-0.563887441479728,-1.04246897942879,-0.197969067359746,-1.07844452842535,-0.203818193885347,-0.675619115105848,0.250909410993654,-0.161751864459404,0.375061888188924,-0.522937325835343,-0.350250683017997,-0.202357544233651,-0.121947362420869,-0.120548933522626,-0.386188424252491,"0:2"
9,-0.595185776340418,-0.989772232373435,-0.149670472744807,0.418521551199498,-0.164446441496632,-1.06551167281684,0.0882046196049032,-0.238801012253616,-0.123785293805405,-0.00043549785791297,-0.343211835588099,0.00282581446093602,-0.0450091637050722,-0.117719684268579,-0.570496049555512,"0:2"
10,-0.562321704487621,-0.872528562274318,-0.164852547794346,1.11309302240299,-0.20126596293252,-1.36573525638457,0.276982132947012,-0.223643428559725,0.273964733831564,-1.20431624241822,-0.70846655735057,-0.616596590130342,-0.108879677497284,0.151070413149334,-0.398890996172595,"0:2"
11,-0.546148688547057,-1.00500895055964,-0.232397491900876,0.630718370646232,-0.227222012844978,-1.41973755965889,0.232626906890597,-0.244673541400153,0.0512175527501759,-0.814120897877888,-1.07335166291315,-1.08893613761484,-0.0231444713038842,0.513571000557524,0.0883314191846888,"0:2"
12,-0.509494519727968,-1.07147065571479,-0.124088696476937,0.270449647510949,-0.144763756546038,-1.41069473785784,0.206051953049293,-0.235717688058508,0.375061888188924,-0.938901922019222,-1.14396902157795,0.63092830760677,-0.115224885850112,0.925408028456241,0.400458675250687,"0:2"
13,-0.562321704487621,-0.911523320721661,-0.197969067359746,-0.118534224813632,-0.23774926168065,-1.43739593839241,0.139828548283808,-0.202896135599891,0.295446967454463,-0.996333944326282,-1.1767731965567,-1.05115621073927,-0.0764248105615202,1.10291257272344,0.486101248132891,"0:2"
14,-0.527233272660639,-0.891502590248411,-0.162873627788923,-0.639026657973087,-0.24600736293698,-1.30496064742175,0.0882046196049032,-0.186247875250852,-0.0704324739738531,0.251658200658049,-1.12954322700188,-0.845972852044682,-0.176031835234831,1.25600960907968,0.931434780897052,"0:2"
15,-0.527233272660639,-0.891502590248411,-0.164852547794346,-1.19176150983977,-0.227222012844978,-1.31854193652291,0.10015758357129,-0.210418089884339,0.695791295560167,0.977688060603083,-1.19133115629749,-0.431733806147992,-0.0450091637050722,1.00476618999515,1.24809819821105,"0:2"
16,-0.463958525585252,-1.05886857596101,-0.220666489616077,-1.09899722972927,-0.253426862954206,-1.42459533489783,0.016292316900158,-0.226262762850656,-0.0178294442010528,-0.996333944326282,-1.03114107353336,-0.202357544233651,-0.126622023114623,0.634105662409719,0.481925789288742,"0:2"
17,-0.546148688547057,-0.972665120316455,-0.197969067359746,-0.918801892939828,-0.180414374925716,-0.931462131276183,0.0882046196049032,-0.198343830385556,0.109489458959092,-0.938901922019222,-1.06433613150244,-0.414394698554328,-0.115224885850112,0.860765433616807,0.468526569017988,"0:2"
18,-0.563887441479728,-0.887841549996021,-0.243363911872408,-0.744490230954378,-0.208058155206286,-1.25669260553716,-0.0623862837196604,-0.210418089884339,-0.29834114932072,-0.730919623927282,-1.20518285922503,-0.431733806147992,-0.132160268737516,0.589215676804465,0.631158441428378,"0:2"
19,-0.563887441479728,-0.867820819522771,-0.243363911872408,-0.487528188371557,-0.227222012844978,-1.50405824581372,0.0749623172678569,-0.18511849171017,0.0338850613378215,-0.212872062074188,-1.22107519961193,-0.460833644469008,-0.0933601934489241,0.540862957083938,0.599788869959178,"0:2"
20,-0.563887441479728,-0.847800089049522,-0.0876606486131651,-0.579090951870867,-0.127963142748502,-1.42283956927804,-0.0301449457274327,-0.18511849171017,0.172867579474205,-0.601684333661612,-1.2100511903099,-0.643770960468669,-0.0933601934489241,0.801843144692604,0.664781181245075,"0:2"
21,-0.527233272660639,-0.909988591143473,-0.164852547794346,-0.775053364715622,-0.227222012844978,-1.35999162071002,-0.0107623550407556,-0.18511849171017,0.267345598394129,-1.20431624241822,-1.36855693121138,-0.202357544233651,-0.0614825313704083,1.55491771843017,0.981293359677754,"0:2"
22,-0.509494519727968,-1.08857776777177,-0.164852547794346,-0.226315453241757,-0.24600736293698,-1.47017563094479,-0.0037162833519614,-0.210418089884339,1.7047259659772,-0.996333944326282,-1.39201689002737,-0.643770960468669,-0.115224885850112,1.21027122536442,1.22655497617929,"0:2"
23,-0.527233272660639,-0.847800089049522,-0.131736028228946,-1.04593588415518,-0.23774926168065,-1.19912369239644,-0.0301449457274327,-0.235717688058508,1.03303926024942,0.513157797870845,-1.41102973171439,-0.886734246038829,-0.126622023114623,0.866841569615415,0.878324066759941,"0:2"
