"eID","RS40003","RS40004","RS40005","RS40007","RS40008","RS40009","RS40010","RS40011","RS40012","RS40013","RS40014","RS40015","RS40016","RS40017","RS40018"
47,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
48,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
49,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
50,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
51,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
52,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
53,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
54,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
55,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
56,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
57,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
58,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
59,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
60,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
61,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
62,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
63,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
64,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
65,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
66,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
67,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
68,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
69,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
70,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
71,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
72,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
73,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
74,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
75,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
76,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
77,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
78,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
79,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
80,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
81,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
82,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
